rouge;vert;bleu;nom
255;255;0;Jaune
150;131;236;Lavande
160;125;112;citron
248;152;85;Saumon
0;255;254;Cyan
112;141;35;Olive
151;131;236;Lavande
255;0;0;Rouge
0;0;255;Bleu
217;186;140;Beige
198;166;100;Jaune sable
138;102;066;Beige brun
199;180;070;Jaune citron
234;230;202;Blanc perle
225;204;079;Ivoire
243;159;024;Jaune soleil
237;118;014;Orange jaune
244;070;017;Orange pur
211;110;112;Vieux rose
234;137;154;Rose clair
179;040;033;Rouge corail
213;048;050;Rouge fraise
109;063;091;Lilas rouge
222;076;138;Violet
110;028;052;Violet bordeaux
108;070;117;Lilas bleu
215;045;109;Telemagenta
038;037;045;Bleu gris
002;086;105;Bleu azur
049;102;080;Vert patine
076;145;065;Vert mai
073;126;118;Turquoise
000;143;057;Vert pur
000;187;045;Vert brillant
138;149;151;Gris argent
144;144;144;Telegris
076;047;039;Brun acajou
165;165;165;Aluminium
